State,Event,Patient
Puducherry,E0,1659
Puducherry,E0,1660
Punjab,E0,2975
Punjab,E0,2976
Punjab,E0,3207
Punjab,E0,3208
Punjab,E0,3209
Rajasthan,E0,1999
Rajasthan,E0,2000
Rajasthan,E0,2001
Rajasthan,E0,2002
Rajasthan,E0,2003
Rajasthan,E0,2004
Rajasthan,E0,2005
Rajasthan,E0,2006
Rajasthan,E0,2007
Rajasthan,E0,2008
Rajasthan,E0,2009
Rajasthan,E0,2010
Rajasthan,E0,2065
Rajasthan,E0,2551
Rajasthan,E0,2552
Rajasthan,E0,3230
Rajasthan,E0,3231
Rajasthan,E0,3725
Tamil Nadu,E0,1516
Tamil Nadu,E0,1517
Tamil Nadu,E0,1518
Tamil Nadu,E0,1519
Tamil Nadu,E0,1520
Tamil Nadu,E0,1521
Tamil Nadu,E0,1522
Tamil Nadu,E0,1523
Tamil Nadu,E0,1524
Tamil Nadu,E0,1525
Tamil Nadu,E0,1526
Tamil Nadu,E0,1527
Tamil Nadu,E0,1528
Tamil Nadu,E0,1529
Tamil Nadu,E0,1530
Tamil Nadu,E0,1531
Tamil Nadu,E0,1532
Tamil Nadu,E0,1533
Tamil Nadu,E0,1534
Tamil Nadu,E0,1535
Tamil Nadu,E0,1536
Tamil Nadu,E0,1537
Tamil Nadu,E0,1538
Tamil Nadu,E0,1539
Tamil Nadu,E0,1540
Tamil Nadu,E0,1541
Tamil Nadu,E0,1542
Tamil Nadu,E0,1543
Tamil Nadu,E0,1544
Tamil Nadu,E0,1545
Tamil Nadu,E0,1546
Tamil Nadu,E0,1547
Tamil Nadu,E0,1548
Tamil Nadu,E0,1549
Tamil Nadu,E0,1550
Tamil Nadu,E0,1551
Tamil Nadu,E0,1552
Tamil Nadu,E0,1553
Tamil Nadu,E0,1554
Tamil Nadu,E0,1555
Tamil Nadu,E0,1556
Tamil Nadu,E0,1557
Tamil Nadu,E0,1558
Tamil Nadu,E0,1559
Tamil Nadu,E0,1560
Tamil Nadu,E0,1761
Tamil Nadu,E0,1762
Tamil Nadu,E0,1763
Tamil Nadu,E0,1764
Tamil Nadu,E0,1765
Tamil Nadu,E0,1766
Tamil Nadu,E0,1767
Tamil Nadu,E0,1768
Tamil Nadu,E0,1769
Tamil Nadu,E0,1770
Tamil Nadu,E0,1771
Tamil Nadu,E0,1772
Tamil Nadu,E0,1773
Tamil Nadu,E0,1774
Tamil Nadu,E0,1775
Tamil Nadu,E0,1776
Tamil Nadu,E0,1777
Tamil Nadu,E0,1778
Tamil Nadu,E0,1779
Tamil Nadu,E0,1780
Tamil Nadu,E0,1781
Tamil Nadu,E0,1782
Tamil Nadu,E0,1783
Tamil Nadu,E0,1784
Tamil Nadu,E0,1785
Tamil Nadu,E0,1786
Tamil Nadu,E0,1787
Tamil Nadu,E0,1788
Tamil Nadu,E0,1789
Tamil Nadu,E0,1790
Tamil Nadu,E0,1791
